Family,pathogen_species,Disease,Reservoir_order,spill_type,Reservoir_spill_notes,Reservoir_spill_reference,CFR_low,CFR_high,CFR_avg,CFR_notes,CFR_reference,transmissibility,transmissibility_notes,transmissibility_reference,transmission_route_primary,transmission_route_notes,transmission_route_reference,Cell,cell_notes,cell_reference,Synonym,Type,Motility,Spore,PubMed.records.log
Arenaviridae,Guanarito mammarenavirus,Venezuelan hemorrhagic fever,Rodentia,direct,data from Guth et al.,Guth et al.,0.333333,0.333333,0.333333,1,52,1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Guanarito virus; Guanarito arenavirus,Virus,NA,NA,0.60206
Rhabdoviridae,Indiana vesiculovirus,Vesicular stomatitis,Cetartiodactyla,direct,data from Guth et al.,Guth et al.,0,0,0,1,1,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Vesicular stomatitis Indiana virus,Virus,NA,NA,0.30103
Flaviviridae,West Nile virus,West Nile fever,Aves,direct,data from Guth et al.,Guth et al.,0.046138,0.046138,0.046138,13,1,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,3.793301
Retroviridae,Western chimpanzee simian foamy virus,Western chimpanzee simian foamy virus,Primates,direct,data from Guth et al.,Guth et al.,0,0,0,,Mouinga-Ondeme et al. 2011,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0
Retroviridae,Western chimpanzee simian foamy virus,Western chimpanzee simian foamy virus,Primates,direct,data from Guth et al.,Guth et al.,0,0,0,,Calattini et al. 2007,1,data from Guth et al.,Guth et al.,animal_bite,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,0
Togaviridae,Western equine encephalitis virus,Western equine encephalomyelitis,Aves,direct,data from Guth et al.,Guth et al.,0.04,0.04,0.04,1,40,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Western equine encephalomyelitis virus,Virus,NA,NA,2.30963
Arenaviridae,Whitewater Arroyo mammarenavirus,Whitewater Arroyo mammarenavirus,Rodentia,direct,data from Guth et al.,Guth et al.,1,1,1,,"CFSPH 2010; CDC. Fatal Illnesses Associated with a New World Arenavirus -- California, 1999-2000. https://www.cdc.gov/mmwr/preview/mmwrhtml/mm4931a1.htm",1,data from Guth et al.,Guth et al.,via_environment,data from Guth et al.,data from Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,NA,Virus,NA,NA,1.908485
Flaviviridae,Yellow fever virus,Yellow fever,Primates,direct,data from Guth et al.,Guth et al.,0.15,0.5,0.325,1,41,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,Yellow fever virus YFV; Flavivirus febricis,Virus,NA,NA,3.121231
Flaviviridae,Zika virus,Zika fever,Primates,direct,data from Guth et al.,Guth et al.,0.083,0.083,0.083,9,10,1,data from Guth et al.,Guth et al.,vector,data from Guth et al.,Guth et al.,Obligate intracellular,All viruses are obligate intracellular pathogens,NA,,Virus,NA,NA,3.709863
Francisellaceae,Francisella tularensis,Tularemia,Rodentia,direct,"rabbits, hares and muskrats","https://www.cdc.gov/tularemia/index.html, Lise E Nigrovic et al. 2008",0.05,0.3,0.175,"Before antibiotics, the overall case fatality rate for all tularemia cases caused by F. tularensis subsp. tularensis was estimated to be 5-15%, with some Tularemia sources suggesting values up to 30%",https://www.cfsph.iastate.edu/Factsheets/pdfs/tularemia.pdf,0,,"https://www.cdc.gov/tularemia/faq/index.html#:~:text=Tularemia%20is%20not%20known%20to,treated%20with%20the%20right%20antibiotics.",vector,"tick, deer fly","https://www.cdc.gov/tularemia/transmission/index.html#:~:text=tularensis%20bacteria%20can%20be%20transmitted,to%20become%20ill%20with%20tularemia.",Facultative intracellular,NA,Shaw et al. 2020,"Pasteurella tularensis; Francisella tularense; Brucella tularensis, etc.",Bacteria,Non-motile,No,3.410946
